Identifiant;n° notice BnF;Type de notice ;Type de document;Titre;Auteur;Contributeur;Editeur;Date;Description;Sujet;Langue;Format;
http://catalogue.bnf.fr/ark:/12148/cb43539280k | ISBN 9782820305824 | ;43539280;monographie;texte imprimé;Gèlera bien qui gèlera le dernier !! / Mitsutoshi Shimabukuro;Shimabukuro, Mitsutoshi (1975-....). Auteur du texte;;Kazé (Paris);2012;Collection : Shonen | Code à barres commercial : EAN 9782820305824 | ;;fre | français | ;"1 vol. (185 p.) : ill., couv. ill., jaquette ill. en coul. ; 18 cm";
http://catalogue.bnf.fr/ark:/12148/cb43497050p | ISBN 9791092297201 | ;43497050;monographie;texte imprimé;"Le collège fou, fou, fou ! : flash ! Kimengumi. 3 / Motoei Shinzawa ; traduit du japonais par Jérôme Penet";Shinzawa, Motoei. Auteur du texte;Penet, Jérôme. Traducteur;Black Box (Montoir-de-Bretagne (Loire-Atlantique));2014;Code à barres commercial : EAN 9791092297201;;fre | français | ;"1 vol. (188 p.) : illustrations en noir et blanc ; 21 x 15 cm";
http://catalogue.bnf.fr/ark:/12148/cb434095709 | ISBN 9782923274454 | ;43409570;monographie;texte imprimé;Le chenil / Patrice Robitaille;Robitaille, Patrice (1964 -). Auteur du texte;;INTERLIGNE (Ottawa, Ont.);2009;Collection : Cavales | Code à barres commercial : EAN 9782923274454 | ;;fre | français | ;"1 vol. (113 p.) : couv. ill. en coul. ; 18 x 11 cm";
http://catalogue.bnf.fr/ark:/12148/cb434099305 | ISBN 9782211208383 | ;43409930;monographie;texte imprimé;Lapin Express / Michel Gay;Gay, Michel (1947-....). Auteur du texte;;Ecole des loisirs (Paris);2012;Code à barres commercial : EAN 9782211208383;;fre | français | ;"1 vol. (38 p.) : ill. en coul. ; 23 x 27 cm";
http://catalogue.bnf.fr/ark:/12148/cb434097209 | ISBN 9781907704369 | ;43409720;monographie;texte imprimé;Hilda et le géant de la nuit / Luke Pearson;Pearson, Luke. Auteur du texte;;Nobrow (Londres);2011;Code à barres commercial : EAN 9781907704253;;fre | français | ;"1 vol. (40 p.) : ill. en coul. ; 30 x 23 cm";
http://catalogue.bnf.fr/ark:/12148/cb43530590j | ISBN 9782330012342 | ;43530590;monographie;texte imprimé;"Pampilio / Irena Tuwim ; illustrations de Monika Hanulak ; traduit et adapté du polonais par Małgorzata Smorag-Goldberg";Tuwim, Irena (1899-1987). Auteur du texte;Hanulak, Monika (1973-....). Illustrateur | Smorąg-Goldberg, Małgorzata (1961-....). Traducteur | ;Hélium (Paris);2012;Code à barres commercial : EAN 9782330012342;;fre | français | ;"1 vol. (non paginé [31] p.) : ill. en coul., couv. ill. en coul. ; 29 cm";
http://catalogue.bnf.fr/ark:/12148/cb43494130m | ISBN 9789993555124 | ;43494130;monographie;texte imprimé;"Anna fait la cuisine / Carole Devillers ; illustrations Rodchield Lamothe";"Devillers, Carole (19..-.... ; photographe). Auteur du texte";Lamothe, Rodchield. Illustrateur;Editha ();2013;Collection : Corossol | Code à barres commercial : EAN 9789993555124 | ;;fre | français | ;"1 vol. (24 p.) : ill. en coul., couv. ill. en coul. ; 20 x 21 cm";
http://catalogue.bnf.fr/ark:/12148/cb43880490t | ISBN 9782811615451 | ;43880490;monographie;texte imprimé;Space brothers. 7 / Chûya Koyama;Koyama, Chūya (1978-....). Auteur du texte;;Pika éd. (Boulogne);2014;Collection : Pika Seinen | Code à barres commercial : EAN 9782811615451 | ;;fre | français | ;"1 vol. (212 p.) : ill., couv. ill., jaquette ill. en coul. ; 18 cm";
http://catalogue.bnf.fr/ark:/12148/cb43402910v | ISBN 2070541150 | ;43402910;monographie;texte imprimé;"Une ferme au fil du temps : du Moyen Age à nos jours / texte Angela Wilkes ; ill. Eric Thomas ; trad. de l'anglais Véronique Dryfus";"Wilkes, Angela (1952-....). Auteur du texte | Thomas, Eric (19..-.... ; illustrateur). Auteur du texte | ";Dreyfus, Véronique (1955-....). Traducteur;Gallimard-Jeunesse (Paris);2005;Code à barres commercial : EAN 9782070541157;;fre | français | ;"32 p. : ill. en coul. ; 27 x 36 cm";
http://catalogue.bnf.fr/ark:/12148/cb433967804 | ISBN 9953465061 | ;43396780;monographie;texte imprimé;Qamar | Lune | ;Mahmoud, Arij. Auteur du texte;;Dar Onboz (Beyrouth);2006;;;ara | arabe | ;"n.p. : ill. ; 15 x 11 cm";
http://catalogue.bnf.fr/ark:/12148/cb43412590f | ISBN 9789957040765 | ;43412590;monographie;texte imprimé;Coffret "'âhâzîj al-touffûla al-moubakkara 2";;;Al-Salwa lil dirassati wal nacher (Amman);2013;"Collection : 'âhâzîj al-toufûla al-moubakkara | Comprend : 'h̤nâ al-thalâtha sawâ / Taghrid Al-Najjar ; ill. Hiba Farran - Sa*da al-sa*dâna / Taghrid Al-Najjar ; ill. Hiba Farran - *Ammo al-chourtî / Taghrid Al-Najjar ; ill. Hiba Farran | ";;ara | arabe | ;;
http://catalogue.bnf.fr/ark:/12148/cb43405180j | ISBN 9782912594020 | ;43405180;monographie;texte imprimé;"Grand'mère, ça commence où la Route de l'esclave ? / Dany Bebel-Gisler ; ill. de Michèle Chomereau-Lamotte";Bébel-Gisler, Dany (1935-2003). Auteur du texte;Chomereau-Lamotte, Michèle. Illustrateur;Ed. Jasor (Pointe-à-Pitre);2009;Code à barres commercial : EAN 9782912594020;Territoires et possessions français;fre | français | ;"32 p. : ill. en coul., couv. ill. en coul. ; 28 cm";
http://catalogue.bnf.fr/ark:/12148/cb43426560p | ISBN 2903033056 | ;43426560;monographie;texte imprimé;"Kalinago "naissance d'un guerrier caraïbe" / Cyr Chélim, Albert Chélim, Claude Chabrol, Lydia Merrifield, Maryse Germany, Janine Israël, Raymonde Benito-Espinal, Edouard Bénito-Espinal ; Ray Sinamal, ill.";Chélim, Cyr. Auteur du texte | Chélim, Albert. Auteur du texte | Chabrol, Claude. Auteur du texte | Merrifield, Lydia. Auteur du texte | Germany, Maryse. Auteur du texte | Israël, Janine. Auteur du texte | Benito-Espinal, Raymonde. Auteur du texte | Bénito-Espinal, Edouard. Auteur du texte | ;Sinamal, Ray. Illustrateur;Editions Caribéennes ();1985;Collection : Calladium;;fre | français | ;;
http://catalogue.bnf.fr/ark:/12148/cb43427180f | ISBN 2909238687 | ;43427180;monographie;texte imprimé;Cun Cakika Contes en dioula / Kalilou Tera;Tera, Kalilou. Auteur du texte;;EDILIS ();2002;Collection : Alpha et développement;;;92 p.;
http://catalogue.bnf.fr/ark:/12148/cb43411030z | ISBN 9781907704543 | ;43411030;monographie;texte imprimé;Hilda et le troll / Luke Pearson;Pearson, Luke. Auteur du texte;;Nobrow (Londres);2012;Code à barres commercial : EAN 9781907704543;;fre | français | ;"1 vol. (24 p.) : ill. en coul. ; 23 x 17 cm";
http://catalogue.bnf.fr/ark:/12148/cb43461470b;43461470;monographie;ressource électronique;Assassin's creed II (PS 3) ;;;Ubisoft ();;Numéro commercial :  TWL-VACV-FRA;;fre | français | ;DVD;
http://catalogue.bnf.fr/ark:/12148/cb43461660k | ISBN 9782211094764 | ;43461660;monographie;texte imprimé;Chansons de France pour les petits Français (Nouv. éd.) illustrations de Louis-Maurice Boutet de Monvel;;Boutet de Monvel, Louis-Maurice (1851-1913). Illustrateur;Ecole des loisirs (Paris);2009;Collection : Album de l'Ecole des loisirs | Code à barres commercial : EAN 9782211094764 | ;;fre | français | ;"47 p. : ill. en coul. ; 23 x 27 cm";
http://catalogue.bnf.fr/ark:/12148/cb43492640t | ISBN 9782352892120 | ;43492640;monographie;texte imprimé;En t'attendant... / Emilie Vast;Vast, Émilie (1978-....). Auteur du texte;;MeMo (Nantes);2014;Code à barres commercial : EAN 9782352892120;;fre | français | ;"1 vol. (40 p.) : ill. en coul. ; 21 x 16 cm";
http://catalogue.bnf.fr/ark:/12148/cb43406450p | ISBN 9782748509014 | ;43406450;monographie;texte imprimé;Le signe de K1. 1, Le protocole de Nod / Claire Gratias;Gratias, Claire (1964-....). Auteur du texte;;Syros jeunesse (Paris);2010;Collection : Soon | Code à barres commercial : EAN 9782748509014 | ;;fre | français | ;"1 vol. (352 p.) : illustrations en noir et blanc ; 22 x 15 cm";
http://catalogue.bnf.fr/ark:/12148/cb43406840g | ISBN 9782358510493 | ;43406840;monographie;texte imprimé;Magique circus tour / Gérard Lo Monaco;Lo Monaco, Gérard (1948-....). Auteur du texte;;Hélium (Paris);2010;Code à barres commercial : EAN 9782358510493;;fre | français | ;"1 vol. (5 p.) ; 26 x 21 cm";
http://catalogue.bnf.fr/ark:/12148/cb434956605 | ISBN 9782874262227 | ;43495660;monographie;texte imprimé;Torsepied / Ellen Potter;Potter, Ellen. Auteur du texte;;Alice (Bruxelles);2014;Collection : Deuzio | Code à barres commercial : EAN 9782874262227 | ;;fre | français | ;1 vol. (224 p.);
http://catalogue.bnf.fr/ark:/12148/cb40246500g | ISBN 2756004111 | ;40246500;monographie;texte imprimé;La malédiction du parapluie / [Lewis Trondheim];Trondheim, Lewis (1964-....). Auteur du texte;;Delcourt (Paris);2006;Collection : Shampooing | Code à barres commercial : EAN 9782756004112 | ;;fre | français | ;"1 vol. (non paginé [ca 128] p.) : ill., en coul., couv. ill. en coul. ; 21 cm";
http://catalogue.bnf.fr/ark:/12148/cb44208920d | ISBN 9782355043406 | ;44208920;monographie;texte imprimé;Pitchou;Sara;;Rue du monde ();2014;;;fre | français | ;;
http://catalogue.bnf.fr/ark:/12148/cb44481590s | ISBN 9782365778084 | ;44481590;monographie;texte imprimé;"Mad love / scénario, Paul Dini, Bruce W. Timm ; dessin, Bruce W. Timm...";Dini, Paul (1957-....). Auteur du texte | Timm, Bruce (1961-....). Auteur du texte | ;;Urban comics (Paris);2015;Collection : Collection DC deluxe | Code à barres commercial : EAN 9782365778084 | ;;fre | français | ;"1 vol. (165 p.) : ill. en coul. ; 28 cm";
http://catalogue.bnf.fr/ark:/12148/cb44510180v | ISBN 9782211225762 | ;44510180;monographie;texte imprimé;"Petit Ours / des histoires d'Else Holmelund Minarik ; illustrées par Maurice Sendak ; [nouvelle traduction de l'anglais (États-Unis) par Agnès Desarthe]";Minarik, Else Holmelund (1920-2012). Auteur du texte;Sendak, Maurice (1928-2012). Illustrateur | Desarthe, Agnès (1966-....). Traducteur | ;l'École des loisirs (Paris);2016;Code à barres commercial : EAN 9782211225762;;fre | français | ;"1 vol. (61 p.) : ill., couv. ill. en coul. ; 23 cm";
http://catalogue.bnf.fr/ark:/12148/cb41868510v | ISBN 2710300249 | ;41868510;monographie;texte imprimé;Contes de la rue Broca / Pierre Gripari;Gripari, Pierre (1925-1990). Auteur du texte;;Table ronde (Paris);2003;Code à barres commercial : EAN 9782710300243;;fre | français | ;"224 p. ; 20 x 14 cm";
http://catalogue.bnf.fr/ark:/12148/cb414504907 | ISBN 9782911782954 | ;41450490;monographie;texte imprimé;"Le Petit Chaperon rouge : [une imagerie d'après un conte de Perrault] / dessiné par Warja Lavater ; adaptation tactile Myriam Colin";Lavater, Warja (1913-2007). Auteur du texte;Colin, Myriam. Adaptateur | Perrault, Charles (1628-1703). Auteur adapté | ;les Doigts qui rêvent (Talant);2008;Code à barres commercial : EAN 9782911782954;;fre | français | ;"1 vol. (non paginé [36] p. en accordéon] : ill. en coul. ; 18 cm";
http://catalogue.bnf.fr/ark:/12148/cb414569604 | ISBN 9782748508208 | ;41456960;monographie;texte imprimé;Armand chez les Passimpas / Olivier Mau;Mau, Olivier (1967-....). Auteur du texte;;Syros (Paris);2009;Collection : Mini Syros | Code à barres commercial : EAN 9782748508208 | ;;fre | français | ;"1 vol. (37 p.) : couv. ill. en coul. ; 17 cm";
http://catalogue.bnf.fr/ark:/12148/cb42716040v | ISBN 9782354131579 | ;42716040;monographie;texte imprimé;"Le joueur de flûte de Hamelin / illustrations de Lisbeth Zwerger ; d'après un récit ancien recueilli par les frères Grimm ; raconté par Renate Raecke ; et traduit par Julie Duteil";;Zwerger, Lisbeth (1954-....). Illustrateur | Grimm, Jacob (1785-1863). Auteur adapté | Grimm, Wilhelm (1786-1859). Auteur adapté | Raecke, Renate (1943-....). Adaptateur | Duteil, Julie. Traducteur | ;Minedition (Paris);2012;Collection : Un mini-livre d'images Minedition | Code à barres commercial : EAN 9782354131579 | ;;fre | français | ;"1 vol. (non paginé [24] p.) : ill. en coul., couv. ill. en coul. ; 19 cm";
http://catalogue.bnf.fr/ark:/12148/cb420626004 | ISBN 9782742785148 | ;42062600;monographie;texte imprimé;"L'Afrique trahie / Gerald Caplan ; traduit de l'anglais (Canada) par Élodie Leplat";Caplan, Gerald Lewis (1938-....). Auteur du texte;Leplat, Élodie. Traducteur;Actes Sud junior (Arles);2009;Code à barres commercial : EAN 9782742785148;Relations extérieures -- Afrique -- Pays industrialisés -- 1990-2020 | Conditions sociales -- Afrique -- 1960-.... | Politique et gouvernement -- Afrique -- 1960-.... | Relations extérieures -- Pays industrialisés -- Afrique -- 1990-2020 | ;fre | français | ;"1 vol. (188 p.) : ill., couv. ill. ; 18 cm";
http://catalogue.bnf.fr/ark:/12148/cb421828902 | ISBN 9782070436569 | ;42182890;monographie;texte imprimé;L'oeil du serpent : contes folkloriques japonais / traduit du japonais et annoté par Françoise Bihan-Faou et Chiwaki Shinoda;Shinoda, Chiwaki (1943-....). Auteur du texte;Bihan-Faou, Françoise. Éditeur scientifique;Gallimard (Paris);2010;Collection : Folio | Code à barres commercial : EAN 9782070436569 | ;;fre | français | ;"1 vol. (94 p.) : couv. ill. en coul. ; 18 cm";
http://catalogue.bnf.fr/ark:/12148/cb42435660s | ISBN 9782290025826 | ;42435660;monographie;texte imprimé;Six héritiers / Pierre Grimbert;Grimbert, Pierre (1970-....). Auteur du texte;;Baam ! (Paris);2011;Collection : Baam ! | Code à barres commercial : EAN 9782290025826 | ;;fre | français | ;"1 vol. (412 p.) : couv. ill. en coul. ; 20 cm";
http://catalogue.bnf.fr/ark:/12148/cb424357304 | ISBN 9782895404545 | ;42435730;monographie;texte imprimé;"Le chasseur de loups marins / Vigneau, Claire ; Roberts, Bruce";Vigneau, Claire. Auteur du texte | Roberts, Bruce (1946-....). Auteur du texte | ;;Les Editions Les 400 coups (Montréal);2010;Collection : Carré blanc | Code à barres commercial : EAN 9782895404545 | ;;fre | français | ;"32 p. : illustrations en couleurs ; 29 cm.";
http://catalogue.bnf.fr/ark:/12148/cb42662980g | ISBN 9782849531440 | ;42662980;monographie;texte imprimé;"Ennedi : la beauté du monde / [texte de] Pascal Villecroix ; [illustrations de] Joël Alessandra";Villecroix, Pascal (1957-....). Auteur du texte;Alessandra, Joël (1967-....). Illustrateur;la Boîte à bulles (Antony);2012;Code à barres commercial : EAN 9782849531440;Ennedi (Tchad);fre | français | ;"1 vol. (non paginé [78] p.) : ill. en noir et en coul., couv. ill. en coul. ; 22 cm";
http://catalogue.bnf.fr/ark:/12148/cb42734400n | ISBN 9782070647675 | ;42734400;monographie;texte imprimé;Le grand livre d'activités Deyrolle;;Deyrolle (Firme). Illustrateur;Gallimard jeunesse (Paris);2012;Code à barres commercial : EAN 9782070647675;;fre | français | ;"1 vol. (47 p.-[2] f. d'autocollants) : ill. en coul., couv. ill. en coul. ; 34 cm";
http://catalogue.bnf.fr/ark:/12148/cb44287370q | ISBN 9789953465364 | ;44287370;monographie;texte imprimé;"La souris / Histoire racontée par Chafik Abboud ; Sérigraphes originaux de l'auteur ; [Traduction May Makarem Hamady] | Al-fāʾraẗ / Qiṣṣaẗ yarwīhā Šafīq Abbūd ; Al-rusūm birīšaẗ al-mouʾallif wa tamma tanfīḏahā bil-tibāʿaẗ al-ḥarīriyyaẗ ; [Tarjamaẗ May Makārim Hamādih] | الفأرة / قصّة يرويها شفيق عبّود ; الرسوم بريشة المؤلف وتمّ تنفيذها بالطباعة الحريريّة ; [ترجمة مي مكارم حماده] | ";Abboud, Shafic (1926-2004). Auteur du texte. Illustrateur;Ḥamādih, Makārim May (1952-....). Traducteur;Dār Qnbuz (Bayrūt) | دار قنبز (بيروت) | ;2015;;;fre;"1 vol. ([68] p.) : ill. coul. ; 32 cm + Compact disque";
http://catalogue.bnf.fr/ark:/12148/cb44460750f | ISBN 9782211223249 | ;44460750;monographie;texte imprimé;"Passeuse de rêves / Lois Lowry ; traduit de l'anglais (États-Unis) par Frédérique Premann";Lowry, Lois (1937-....). Auteur du texte;Pressmann, Frédérique (1966-....). Traducteur;l'École des loisirs (Paris);2015;Collection : Médium poche;;fre | français | ;"1 vol. (159 p.) : couv. ill. en coul. ; 19 cm";
http://catalogue.bnf.fr/ark:/12148/cb44508300n | ISBN 9789953465449 | ;44508300;monographie;texte imprimé;"H̱ayāl ẓul al-ṭayr / Nadīn Tūmā, Hibah Farrān ; Rusūm wa taṣmīm Hibah Farrān ; Tarǧamaẗ Brūnū Barmakī | خيال ظّل الطير / ندين توما, هبه فرّان ; رسوم و تصميم هبه فرّان ; ترجمة برونو برمكي | Ombre de l'oiseau | Shadow of the bird | ";Tūmā, Nadīn R. L. (1972-....). Auteur du texte;Farrān, Hibah (1984-....). Illustrateur | Barmakī, Brūnū. Traducteur | ;Dār Qnbuz (Bayrūt) | دار قنبز (بيروت) | ;2016;"Collection : Ṭīr yā ṭayr ; 4 | Collection : طير يا طير ; 4 | ";;fre;"1 vol. (n.p.) : ill. coul. ; 42 x 30 cm";
http://catalogue.bnf.fr/ark:/12148/cb444126409 | ISBN 9995256266 | ;44412640;monographie;texte imprimé;Le prix de la fraude / textes et illustrations Ali Zoromé;Zoromé, Aly. Auteur du texte. Illustrateur;;Edis (Bamako);2008;;;fre | français | ;"1 vol. (54 p.) : ill. ; 20 cm";
http://catalogue.bnf.fr/ark:/12148/cb42528790p | ISBN 9782731245394 | ;42528790;monographie;texte imprimé;Les contes d'Andersen / illustrations de Yan d'Argent;Andersen, Hans Christian (1805-1875). Auteur du texte;Dargent, Yan (1824-1899). Illustrateur;Éd. Atlas (Paris);2009;;;fre | français | ;"1 vol. (62 p.) : ill., couv. ill. en coul. ; 32 cm";
http://catalogue.bnf.fr/ark:/12148/cb42528420p | ISBN 9782731246643 | ;42528420;monographie;texte imprimé;Les contes de Grimm illustrés;Grimm, Jacob (1785-1863). Auteur du texte | Grimm, Wilhelm (1786-1859). Auteur du texte | ;;Éd. Atlas (Paris);2010;;;fre | français | ;"1 vol. (62 p.) : ill. en noir et en coul., couv. ill. en coul. ; 33 cm";
http://catalogue.bnf.fr/ark:/12148/cb42795780f | ISBN 9782355741128 | ;42795780;monographie;texte imprimé;"L'assemblée des sorciers / scénario & dessin, Ted Naifeh ; couleurs, Warren Wucinich ; traduction, Achille(s)";Naifeh, Ted (1971-....). Auteur du texte;;Akiléos (Talence);2012;Code à barres commercial : EAN 9782355741128;;fre | français | ;"1 vol. (133 p.) : ill. en coul., couv. ill. en coul. ; 23 cm";
http://catalogue.bnf.fr/ark:/12148/cb421755108 | ISBN 9782930223933 | ;42175510;monographie;texte imprimé;Sans début ni fin : petite parabole / Anne Herbauts;Herbauts, Anne (1975-....). Auteur du texte;;Esperluète (Noville-sur-Mehaigne);2008;;;fre | français | ;"1 vol. (1 dépl. [20] p.) ; 20 cm";
